Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
4,0.01,0.05,0.1,100000,1000,18,0,10,0.0,0.0,0.0,0.0,,0.008181807024808604,0.008181807024808604,10,18
4,0.01,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,153.0,0.0,0.909008271975275,11,10
4,0.01,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
4,0.01,0.3,0.0,100000,0,14,0,11,0.0,0.0,0.0,0.0,,0.0063636334710756946,0.0063636334710756946,11,14
4,0.01,0.3,0.0,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090907231405804,0.004090907231405804,10,9
4,0.01,0.3,0.1,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,157.5,0.0,0.999727347087158,11,11
4,0.01,0.3,0.1,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.3635372171226029,0.3635372171226029,4,4
4,0.01,0.3,0.1,100000,0,14,0,11,0.0,0.0,0.0,0.0,,0.006363627685962246,0.006363627685962246,11,14
4,0.01,0.3,0.1,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090903512404302,0.004090903512404302,10,9
4,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.2,0.05,0.0,100000,0,4,0,11,0.0,0.0,0.0,0.0,,0.0018181809917359128,0.0018181809917359128,11,4
4,0.2,0.05,0.0,100000,1000,1,0,10,0.0,0.0,0.0,0.0,,0.0004545452479339782,0.0004545452479339782,10,1
4,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.2,0.05,0.1,100000,0,13,0,11,0.0,0.0,0.0,0.0,,0.005909082851250657,0.005909082851250657,11,13
4,0.2,0.05,0.1,100000,1000,5,0,10,0.0,0.0,0.0,0.0,,0.002272724173557945,0.002272724173557945,10,5
4,0.2,0.3,0.0,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,182.6,0.0,0.9999090991728026,11,11
4,0.2,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
4,0.2,0.3,0.0,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,11,10
