Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
2,0.2,0.3,0.0,100000,0,16,10,1,0.38461538461538464,0.9090909090909091,0.9090909090909091,0.5405405405405405,145.8,0.007272723966943651,0.011818176446283434,11,26
2,0.2,0.3,0.0,100000,1000,23,3,7,0.11538461538461539,0.3,0.3,0.16666666666666669,365.0,0.010454540702481498,0.011818176446283434,10,26
2,0.2,0.3,0.1,500,0,1,10,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,48.9,0.09088430428065072,0.999727347087158,11,11
2,0.2,0.3,0.1,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.3635372171226029,0.3635372171226029,4,4
2,0.2,0.3,0.1,100000,0,14,8,3,0.36363636363636365,0.7272727272727273,0.7272727272727273,0.4848484848484849,213.5,0.006363627685962246,0.00999998636365496,11,22
2,0.2,0.3,0.1,100000,1000,18,2,8,0.1,0.2,0.2,0.13333333333333333,469.5,0.008181807024808604,0.00909089669423178,10,20
3,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.01,0.05,0.0,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,11,10
3,0.01,0.05,0.0,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090907231405804,0.004090907231405804,10,9
3,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.01,0.05,0.1,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,11,10
3,0.01,0.05,0.1,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090903512404302,0.004090903512404302,10,9
3,0.01,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,64.0,0.0,0.909008271975275,11,10
3,0.01,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
3,0.01,0.3,0.0,100000,0,13,11,1,0.4583333333333333,0.9166666666666666,0.9090909090909091,0.611111111111111,86.6,0.005909088223141717,0.010909085950415478,11,24
3,0.01,0.3,0.0,100000,1000,24,2,8,0.07692307692307693,0.2,0.2,0.1111111111111111,469.5,0.010909085950415478,0.011818176446283434,10,26
3,0.01,0.3,0.1,500,0,1,10,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,40.4,0.09088430428065072,0.999727347087158,11,11
3,0.01,0.3,0.1,500,1000,5,0,4,0.0,0.0,0.0,0.0,,0.4544215214032537,0.4544215214032537,4,5
3,0.01,0.3,0.1,100000,0,10,10,1,0.5,0.9090909090909091,0.9090909090909091,0.6451612903225806,117.2,0.00454544834711589,0.00909089669423178,11,20
3,0.01,0.3,0.1,100000,1000,21,1,9,0.045454545454545456,0.1,0.1,0.06250000000000001,458.0,0.00954544152894337,0.00999998636365496,10,22
3,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.05,0.0,100000,0,18,0,11,0.0,0.0,0.0,0.0,,0.008181814462811608,0.008181814462811608,11,18
3,0.2,0.05,0.0,100000,1000,15,0,10,0.0,0.0,0.0,0.0,,0.006818178719009673,0.006818178719009673,10,15
3,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
3,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
3,0.2,0.05,0.1,100000,0,21,1,10,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.060606060606060615,443.0,0.00954544152894337,0.00999998636365496,11,22
3,0.2,0.05,0.1,100000,1000,20,0,10,0.0,0.0,0.0,0.0,,0.00909089669423178,0.00909089669423178,10,20
3,0.2,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,62.8,0.0,0.909008271975275,11,10
3,0.2,0.3,0.0,500,1000,3,1,3,0.25,0.25,0.25,0.25,480.0,0.2727024815925825,0.36360330879011,4,4
3,0.2,0.3,0.0,100000,0,11,8,3,0.42105263157894735,0.7272727272727273,0.7272727272727273,0.5333333333333333,183.5,0.00499999772727376,0.008636359710745585,11,19
3,0.2,0.3,0.0,100000,1000,19,2,8,0.09523809523809523,0.2,0.2,0.12903225806451613,369.5,0.008636359710745585,0.009545450206613543,10,21
3,0.2,0.3,0.1,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,57.7,0.0,0.9088430428065074,11,10
3,0.2,0.3,0.1,500,1000,5,0,4,0.0,0.0,0.0,0.0,,0.4544215214032537,0.4544215214032537,4,5
3,0.2,0.3,0.1,100000,0,23,5,6,0.17857142857142858,0.45454545454545453,0.45454545454545453,0.25641025641025644,165.8,0.010454531198366547,0.012727255371924493,11,28
3,0.2,0.3,0.1,100000,1000,24,1,9,0.04,0.1,0.1,0.05714285714285714,399.0,0.010909076033078138,0.011363620867789725,10,25
4,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.01,0.05,0.0,100000,0,11,0,11,0.0,0.0,0.0,0.0,,0.00499999772727376,0.00499999772727376,11,11
4,0.01,0.05,0.0,100000,1000,10,0,10,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,10,10
4,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
4,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
4,0.01,0.05,0.1,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,11,10
4,0.01,0.05,0.1,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090903512404302,0.004090903512404302,10,9
4,0.01,0.3,0.0,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,55.9,0.0,0.9999090991728026,11,11
4,0.01,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
