,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,10,0.01,0.3,0.0,5000,1000,20,500,15,24,0,0.6153846153846154,1.0,1.0,0.761904761904762,507.25,0.0623700623700623,0.1621621621621621,20,39
0,10,0.01,0.3,0.0,5000,1000,30,500,30,46,0,0.6052631578947368,1.0,1.0,0.7540983606557378,541.7666666666667,0.0832177531206657,0.2108183079056865,30,76
0,10,0.01,0.3,0.0,5000,1000,40,500,11,71,0,0.8658536585365854,1.0,1.0,0.9281045751633988,355.5,0.0228928199791883,0.1706555671175858,40,82
0,10,0.01,0.3,0.1,100000,0,10,500,9,10,0,0.5263157894736842,1.0,1.0,0.6896551724137931,58.2,0.0044988752811797,0.0094976255936016,10,19
0,10,0.01,0.3,0.1,100000,0,20,500,66,20,0,0.2325581395348837,1.0,1.0,0.3773584905660377,146.2,0.0164979377577802,0.0214973128358955,20,86
0,10,0.01,0.3,0.1,100000,0,30,500,0,0,30,0.0,0.0,0.0,0.0,,0.0,0.0,30,0
0,10,0.01,0.3,0.1,100000,0,40,500,1,40,0,0.975609756097561,1.0,1.0,0.9876543209876544,53.8,0.0001249921879882,0.0051246797075182,40,41
0,10,0.01,0.3,0.1,100000,1000,10,500,1,10,0,0.9090909090909092,1.0,1.0,0.9523809523809524,818.2,0.0004949269982677,0.0054441969809453,10,11
0,10,0.01,0.3,0.1,100000,1000,20,500,0,20,0,1.0,1.0,1.0,1.0,582.65,0.0,0.004949882440292,20,20
0,10,0.01,0.3,0.1,100000,1000,30,500,7,30,0,0.8108108108108109,1.0,1.0,0.8955223880597014,749.1333333333333,0.0011550202128537,0.0061051068393696,30,37
0,10,0.01,0.3,0.1,100000,1000,40,500,2,40,0,0.9523809523809524,1.0,1.0,0.975609756097561,607.025,0.0002475094362972,0.0051976981622424,40,42
0,10,0.01,0.3,0.1,5000,0,10,500,6,12,0,0.6666666666666666,1.0,1.0,0.8,41.5,0.0597014925373134,0.1791044776119403,10,18
0,10,0.01,0.3,0.1,5000,0,20,500,92,31,0,0.2520325203252032,1.0,1.0,0.4025974025974026,41.45,0.4588528678304239,0.6134663341645885,20,123
0,10,0.01,0.3,0.1,5000,0,30,500,55,36,0,0.3956043956043956,1.0,1.0,0.5669291338582677,37.333333333333336,0.1830282861896838,0.302828618968386,30,91
0,10,0.01,0.3,0.1,5000,0,40,500,28,44,0,0.6111111111111112,1.0,1.0,0.7586206896551725,46.275,0.0699126092384519,0.1797752808988764,40,72
0,10,0.01,0.3,0.1,5000,1000,10,500,7,17,0,0.7083333333333334,1.0,1.0,0.8292682926829268,538.1,0.0580912863070539,0.1991701244813278,10,24
0,10,0.01,0.3,0.1,5000,1000,20,500,12,38,0,0.76,1.0,1.0,0.8636363636363636,517.85,0.0498960498960499,0.2079002079002079,20,50
0,10,0.01,0.3,0.1,5000,1000,30,500,56,59,0,0.5130434782608696,1.0,1.0,0.6781609195402298,512.2666666666667,0.1553398058252427,0.319001386962552,30,115
