,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,10,0.2,0.05,0.1,5000,0,20,500,11,2,18,0.1538461538461538,0.1,0.1,0.1212121212121212,278.5,0.054862842892768,0.0648379052369077,20,13
0,10,0.2,0.05,0.1,5000,0,30,500,22,2,28,0.0833333333333333,0.0666666666666666,0.0666666666666666,0.074074074074074,278.5,0.0732113144758735,0.0798668885191347,30,24
0,10,0.2,0.05,0.1,5000,0,40,500,42,3,37,0.0666666666666666,0.075,0.075,0.0705882352941176,325.6666666666667,0.1048689138576779,0.1123595505617977,40,45
0,10,0.2,0.05,0.1,5000,1000,10,500,5,0,10,0.0,0.0,0.0,0.0,,0.0414937759336099,0.0414937759336099,10,5
0,10,0.2,0.05,0.1,5000,1000,20,500,18,3,17,0.1428571428571428,0.15,0.15,0.1463414634146341,1236.6666666666667,0.0748440748440748,0.0873180873180873,20,21
0,10,0.2,0.05,0.1,5000,1000,30,500,29,3,27,0.09375,0.1,0.1,0.0967741935483871,1243.6666666666667,0.0804438280166435,0.0887656033287101,30,32
0,10,0.2,0.05,0.1,5000,1000,40,500,39,4,36,0.0930232558139534,0.1,0.1,0.0963855421686746,1271.0,0.0811654526534859,0.0894901144640998,40,43
0,10,0.2,0.3,0.0,100000,0,10,500,4,10,0,0.7142857142857143,1.0,1.0,0.8333333333333333,93.4,0.0019995001249687,0.0069982504373906,10,14
0,10,0.2,0.3,0.0,100000,0,20,500,188,21,1,0.1004784688995215,0.9545454545454546,0.95,0.1818181818181818,111.21052631578948,0.0469941257342832,0.0522434695663042,20,209
0,10,0.2,0.3,0.0,100000,0,30,500,1,30,0,0.967741935483871,1.0,1.0,0.9836065573770492,91.6,0.000166652778935,0.0051662361469877,30,31
0,10,0.2,0.3,0.0,100000,0,40,500,219,42,0,0.160919540229885,1.0,1.0,0.2772277227722772,82.725,0.0273732891694269,0.0326229610649334,40,261
0,10,0.2,0.3,0.0,100000,1000,10,500,22,15,0,0.4054054054054054,1.0,1.0,0.5769230769230769,574.7,0.0108883939618906,0.0183122989359069,10,37
0,10,0.2,0.3,0.0,100000,1000,20,500,2,20,0,0.9090909090909092,1.0,1.0,0.9523809523809524,498.75,0.0004949882440292,0.0054448706843212,20,22
0,10,0.2,0.3,0.0,100000,1000,30,500,2,30,0,0.9375,1.0,1.0,0.967741935483871,511.6333333333333,0.000330005775101,0.005280092401617,30,32
0,10,0.2,0.3,0.0,100000,1000,40,500,12,40,0,0.7692307692307693,1.0,1.0,0.8695652173913044,600.35,0.0014850566177835,0.0064352453437287,40,52
0,10,0.2,0.3,0.0,5000,0,10,500,6,10,0,0.625,1.0,1.0,0.7692307692307693,65.0,0.0597014925373134,0.1592039800995024,10,16
0,10,0.2,0.3,0.0,5000,0,20,500,13,21,0,0.6176470588235294,1.0,1.0,0.7636363636363637,61.45,0.0648379052369077,0.169576059850374,20,34
0,10,0.2,0.3,0.0,5000,0,30,500,22,33,0,0.6,1.0,1.0,0.7499999999999999,59.833333333333336,0.0732113144758735,0.1830282861896838,30,55
0,10,0.2,0.3,0.0,5000,0,40,500,12,41,0,0.7735849056603774,1.0,1.0,0.8723404255319149,65.725,0.0299625468164794,0.132334581772784,40,53
0,10,0.2,0.3,0.0,5000,1000,10,500,3,10,0,0.7692307692307693,1.0,1.0,0.8695652173913044,563.7,0.0248962655601659,0.1078838174273859,10,13
0,10,0.2,0.3,0.0,5000,1000,20,500,16,28,0,0.6363636363636364,1.0,1.0,0.7777777777777778,531.25,0.0665280665280665,0.1829521829521829,20,44
0,10,0.2,0.3,0.0,5000,1000,30,500,30,41,1,0.5774647887323944,0.9761904761904762,0.9666666666666668,0.7256637168141593,556.5862068965517,0.0832177531206657,0.1969486823855756,30,71
0,10,0.2,0.3,0.0,5000,1000,40,500,29,61,0,0.6777777777777778,1.0,1.0,0.8079470198675497,561.25,0.060353798126951,0.1873048907388137,40,90
0,10,0.2,0.3,0.1,100000,0,10,500,1,10,0,0.9090909090909092,1.0,1.0,0.9523809523809524,92.0,0.0004998750312421,0.005498625343664,10,11
0,10,0.2,0.3,0.1,100000,0,20,500,109,22,0,0.1679389312977099,1.0,1.0,0.2875816993464052,100.45,0.027246594175728,0.0327459067616547,20,131
0,10,0.2,0.3,0.1,100000,0,30,500,2,30,0,0.9375,1.0,1.0,0.967741935483871,94.53333333333332,0.0003333055578701,0.0053328889259228,30,32
0,10,0.2,0.3,0.1,100000,0,40,500,1,40,0,0.975609756097561,1.0,1.0,0.9876543209876544,97.2,0.0001249921879882,0.0051246797075182,40,41
0,10,0.2,0.3,0.1,100000,1000,10,500,23,14,0,0.3783783783783784,1.0,1.0,0.5490196078431372,533.5,0.0113833209601583,0.0183122989359069,10,37
0,10,0.2,0.3,0.1,100000,1000,20,500,2,20,0,0.9090909090909092,1.0,1.0,0.9523809523809524,535.9,0.0004949882440292,0.0054448706843212,20,22
0,10,0.2,0.3,0.1,100000,1000,30,500,34,45,0,0.569620253164557,1.0,1.0,0.7258064516129034,531.7,0.005610098176718,0.013035228116492,30,79
0,10,0.2,0.3,0.1,100000,1000,40,500,4,40,0,0.9090909090909092,1.0,1.0,0.9523809523809524,540.225,0.0004950188725945,0.0054452075985396,40,44
0,10,0.2,0.3,0.1,5000,0,10,500,9,11,0,0.55,1.0,1.0,0.7096774193548387,59.9,0.0895522388059701,0.1990049751243781,10,20
0,10,0.2,0.3,0.1,5000,0,20,500,8,22,0,0.7333333333333333,1.0,1.0,0.846153846153846,68.0,0.0399002493765586,0.1496259351620947,20,30
0,10,0.2,0.3,0.1,5000,0,30,500,24,32,0,0.5714285714285714,1.0,1.0,0.7272727272727273,64.3,0.0798668885191347,0.1863560732113144,30,56
