,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
71220,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71505,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
71514,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
71590,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
71873,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
71874,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
72000,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0
72001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72116,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
72123,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
73434,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
74341,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
74377,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
74415,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
74518,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
75499,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
75842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76244,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
78586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83296,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83370,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
83397,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
83482,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
83841,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
83869,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
84278,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0
84279,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
84353,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
84382,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
85454,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
