,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
107702,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107747,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
107912,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
108037,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
108463,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
108464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108507,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108560,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
108769,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
109294,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
110427,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
110678,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
110679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110814,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110925,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
114797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119227,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119254,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119468,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
119545,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
119546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119704,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
119749,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
119771,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
120004,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
120005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120130,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
120133,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
120262,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
120480,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
